,ts,value
735,2022-05-31 18:00:00,56
736,2022-05-31 19:00:00,56
737,2022-05-31 20:00:00,55
738,2022-05-31 21:00:00,55
739,2022-05-31 22:00:00,55
740,2022-05-31 23:00:00,55
741,2022-06-01 00:00:00,55
742,2022-06-01 01:00:00,54
743,2022-06-01 02:00:00,54
744,2022-06-01 03:00:00,54
745,2022-06-01 04:00:00,54
746,2022-06-01 05:00:00,54
747,2022-06-01 06:00:00,54
748,2022-06-01 07:00:00,54
749,2022-06-01 08:00:00,54
750,2022-06-01 09:00:00,55
751,2022-06-01 10:00:00,56
752,2022-06-01 11:00:00,56
753,2022-06-01 12:00:00,56
754,2022-06-01 13:00:00,56
755,2022-06-01 14:00:00,56
756,2022-06-01 15:00:00,56
757,2022-06-01 16:00:00,57
758,2022-06-01 17:00:00,56
759,2022-06-01 18:00:00,57
760,2022-06-01 19:00:00,56
761,2022-06-01 20:00:00,56
762,2022-06-01 21:00:00,56
763,2022-06-01 22:00:00,56
764,2022-06-01 23:00:00,55
765,2022-06-02 00:00:00,55
766,2022-06-02 01:00:00,55
767,2022-06-02 02:00:00,55
768,2022-06-02 03:00:00,55
769,2022-06-02 04:00:00,55
770,2022-06-02 05:00:00,55
771,2022-06-02 06:00:00,55
772,2022-06-02 07:00:00,55
773,2022-06-02 08:00:00,56
774,2022-06-02 09:00:00,57
775,2022-06-02 10:00:00,58
776,2022-06-02 11:00:00,58
777,2022-06-02 12:00:00,58
778,2022-06-02 13:00:00,58
779,2022-06-02 14:00:00,58
780,2022-06-02 15:00:00,58
781,2022-06-02 16:00:00,57
782,2022-06-02 17:00:00,57
783,2022-06-02 18:00:00,57
784,2022-06-02 19:00:00,56
785,2022-06-02 20:00:00,56
786,2022-06-02 21:00:00,56
787,2022-06-02 22:00:00,56
788,2022-06-02 23:00:00,56
789,2022-06-03 00:00:00,55
790,2022-06-03 01:00:00,55
791,2022-06-03 02:00:00,55
792,2022-06-03 03:00:00,55
793,2022-06-03 04:00:00,55
794,2022-06-03 05:00:00,55
795,2022-06-03 06:00:00,56
796,2022-06-03 07:00:00,56
797,2022-06-03 08:00:00,56
798,2022-06-03 09:00:00,56
799,2022-06-03 10:00:00,56
800,2022-06-03 11:00:00,57
801,2022-06-03 12:00:00,57
802,2022-06-03 13:00:00,57
803,2022-06-03 14:00:00,57
804,2022-06-03 15:00:00,57
805,2022-06-03 16:00:00,57
806,2022-06-03 17:00:00,56
807,2022-06-03 18:00:00,56
808,2022-06-03 19:00:00,56
809,2022-06-03 20:00:00,56
810,2022-06-03 21:00:00,56
811,2022-06-03 22:00:00,56
812,2022-06-03 23:00:00,55
813,2022-06-04 00:00:00,55
814,2022-06-04 01:00:00,54
815,2022-06-04 02:00:00,54
816,2022-06-04 03:00:00,53
817,2022-06-04 04:00:00,53
818,2022-06-04 05:00:00,53
819,2022-06-04 06:00:00,53
820,2022-06-04 07:00:00,54
